央视,#genre#
陕西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000056BESTVSMGSMG/index.m3u8?m3u8_level=2
宁夏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN160782BESTVSMGSMG9/index.m3u8?m3u8_level=2
青海卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN67026BESTVSMGSMG9/index.m3u8?m3u8_level=2
西藏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN77574BESTVSMGSMG9/index.m3u8?m3u8_level=2
兵团卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN126389BESTVSMGSMG9/index.m3u8?m3u8_level=2
新疆卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN126387BESTVSMGSMG9/index.m3u8?m3u8_level=2
内蒙古卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN79469BESTVSMGSMG9/index.m3u8?m3u8_level=2
厦门卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN484994BESTVSMGSMG/index.m3u8?m3u8_level=2
云南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000043BESTVSMGSMG/index.m3u8?m3u8_level=2
兵团卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN126389BESTVSMGSMG9/index.m3u8?m3u8_level=2
三沙卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807b743da75/index.m3u8?m3u8_level=2
延边卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN64ba3c92c8d9a/index.m3u8?m3u8_level=2
康巴卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN64ba3c745c76a/index.m3u8?m3u8_level=2
专业,#genre#
CGTN,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
CGTN阿拉伯语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN俄语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN法语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806fb631afe/index.m3u8?m3u8_level=2
CGTN纪录,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63a15d0ee63f3/index.m3u8?m3u8_level=2
CGTN西班牙语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f81c8eb5/index.m3u8?m3u8_level=2
CETV-1,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3138605BESTVSMGSMG/index.m3u8?m3u8_level=2
CETV-2,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN79471BESTVSMGSMG/index.m3u8?m3u8_level=2
CETV-4,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6876519BESTVSMGSMG/index.m3u8?m3u8_level=2
山东教育,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638072ea35948/index.m3u8?m3u8_level=2
金鹰卡通,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?m3u8_level=2
卡酷少儿,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN164297BESTVSMGSMG9/index.m3u8?m3u8_level=2
哈哈炫动,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4641019BESTVSMGSMG/index.m3u8?m3u8_level=2
嘉佳卡通,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN484998BESTVSMGSMG/index.m3u8?m3u8_level=2
文物宝库,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078a346161/index.m3u8?m3u8_level=2
武术世界,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078be5d654/index.m3u8?m3u8_level=2
梨园频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?m3u8_level=2
国学频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807326aa5bb/index.m3u8?m3u8_level=2
汽摩频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078298b09d/index.m3u8?m3u8_level=2
书画频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638076c7e6742/index.m3u8?m3u8_level=2&
